Δευτέρα,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
16:00-17:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική
2ο
Βαρουτάς, Τσίπουρας", , ,,"Πολυμέσα και Ασύρματη Δικτύωση
8ο
Μεράκος, Πασσάς, Μπαλαοιύρας", ,,"Κρυπτογραφία (Φ)
8ο - Μ122
Κιαγιάς","Θεωρία Πληροφορίας και Κωδίκων
6ο
Καλουπτσίδης, Παναγάκης", 
17:00-18:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική
2ο
Βαρουτάς, Τσίπουρας", ,"Προστασία και Ασφάλεια Υπολογιστικών Συστημάτων
8ο - Μ108
Χατζηκοκολάκης",,"Ανάπτυξη Υλικού-Λογισμικού για Ενσωματωμένα Συστήματα
8ο
Μανωλάκος", , ,"Τεχνολογίες Εφαρμογών Διαδικτύου
6ο
Χαμόδρακας", , 
18:00-19:00,,,"Προστασία και Ασφάλεια Υπολογιστικών Συστημάτων
8ο - Μ108
Χατζηκοκολάκης",,"Ανάπτυξη Υλικού-Λογισμικού για Ενσωματωμένα Συστήματα
8ο
Μανωλάκος",,,"Τεχνολογίες Εφαρμογών Διαδικτύου
6ο
Χαμόδρακας",,
19:00-20:00,,,,,"Ανάπτυξη Υλικού-Λογισμικού για Ενσωματωμένα Συστήματα
8ο
Μανωλάκος",,, ,,
20:00-21:00,,,, , ,,, ,,
,,,,,,,,,,
,,,,,,,,,,
Παρασκευή,,,,,,,,,,
"Ώρα /
Αίθουσα",Online,Online,Online,Online,Online,Online,Online,Online,Online,Online
 9:00-10:00, , ,, , ,, , , , 
10:00-11:00, , ,, , ,, , , , 
11:00-12:00,"Συστήματα Επικοινωνιών
4ο
Μαθιόπουλος","Διοίκηση Έργων και Τεχνικές Παρουσίασης και Συγγραφής Επιστημονικών Εκθέσεων
8ο
Τολίδης","Επεξεργασία Στοχαστικών Σημάτων
6ο
Αλεξανδρόπουλος", , ,,"Υπολογιστική Γεωμετρία
8ο
Καρασούλου", , , 
12:00-13:00,"Συστήματα Επικοινωνιών
4ο
Μαθιόπουλος","Διοίκηση Έργων και Τεχνικές Παρουσίασης και Συγγραφής Επιστημονικών Εκθέσεων
8ο
Τολίδης","Επεξεργασία Στοχαστικών Σημάτων
6ο
Αλεξανδρόπουλος", , ,,"Υπολογιστική Γεωμετρία
8ο
Καρασούλου", , , 
13:00-14:00,"Δίκτυα Επικοινωνιών I
4ο
Σταυρακάκης, Βάιος", ,"Διαχείριση Δικτύων
6ο
Αλωνιστιώτη", , ,,"Κρυπτογραφία
8ο - Μ122
Κιαγιάς","Μαθηματικά Πληροφορικής (Φ)
6ο
Φουρτουνέλλη","Καινοτομία και Επιχειρηματικότητα
8ο
Τολίδης", 
14:00-15:00,"Δίκτυα Επικοινωνιών I
4ο
Σταυρακάκης, Βάιος", ,"Διαχείριση Δικτύων
6ο
Αλωνιστιώτη", , , ,"Κρυπτογραφία
8ο - Μ122
Κιαγιάς", ,"Καινοτομία και Επιχειρηματικότητα
8ο
Τολίδης", 
15:00-16:00,"Αλγόριθμοι & Πολυπλοκότητα (περιττοί ΑΜ)
4ο
Εμίρης","Αλγόριθμοι & Πολυπλοκότητα (άρτιοι ΑΜ)
4ο
Ζησιμόπουλος", , , , ,"Κρυπτογραφία
8ο - Μ122
Κιαγιάς","Ανάλυση/Σχεδίαση Συστημάτων Λογισμικού
6ο
Τσαλγατίδου","Καινοτομία και Επιχειρηματικότητα
8ο
Τολίδης", 
16:00-17:00,"Αλγόριθμοι & Πολυπλοκότητα (περιττοί ΑΜ)
4ο
Εμίρης","Αλγόριθμοι & Πολυπλοκότητα (άρτιοι ΑΜ)
4ο
Ζησιμόπουλος", , ,"Προηγμένα Θέματα Αλγορίθμων
8ο
Φουρτουνέλλη", , ,"Ανάλυση/Σχεδίαση Συστημάτων Λογισμικού
6ο
Τσαλγατίδου", , 
17:00-18:00,,,,,"Προηγμένα Θέματα Αλγορίθμων
8ο
Φουρτουνέλλη", ,, , , 
18:00-19:00, ,,,, , ,, , , 
19:00-20:00, ,,,, , ,, , , 
20:00-21:00, ,, , , , ,, , , 
